Season,Level,League,Division,Finish,Wins,Losses,Win%,GB,Post-Season,Awards
1901,MLB,AL,,3rd,74,61,.548,8½,,
1902,MLB,AL,,7th,52,83,.385,30½,,
1903,MLB,AL,,5th,65,71,.478,25,,
1904,MLB,AL,,7th,62,90,.408,32,,
1905,MLB,AL,,3rd,79,74,.516,15½,,
1906,MLB,AL,,6th,71,78,.477,21,,
1907,MLB,AL *,,1st,92,58,.613,—,Lost World Series (Cubs) 4–0 *,
1908,MLB,AL *,,1st,90,63,.588,—,Lost World Series (Cubs) 4–1 *,
1909,MLB,AL *,,1st,98,54,.645,—,Lost World Series (Pirates) 4–3 *,Ty Cobb (TC)
1910,MLB,AL,,3rd,86,68,.558,18,,
1911,MLB,AL,,2nd,89,65,.578,13½,,Ty Cobb (MVP)
1912,MLB,AL,,6th,69,84,.451,36½,,
1913,MLB,AL,,6th,66,87,.431,30,,
1914,MLB,AL,,4th,80,73,.523,19½,,
1915,MLB,AL,,2nd,100,54,.649,2½,,
1916,MLB,AL,,3rd,87,67,.565,4,,
1917,MLB,AL,,4th,78,75,.510,21½,,
1918,MLB,AL,,7th,55,71,.437,20,,
1919,MLB,AL,,4th,80,60,.571,8,,
1920,MLB,AL,,7th,61,93,.396,37,,
1921,MLB,AL,,6th,71,82,.464,27,,
1922,MLB,AL,,3rd,79,75,.513,15,,
1923,MLB,AL,,2nd,83,71,.539,16,,
1924,MLB,AL,,3rd,86,68,.558,6,,
1925,MLB,AL,,4th,81,73,.526,16½,,
1926,MLB,AL,,6th,79,75,.513,12,,
1927,MLB,AL,,4th,82,71,.536,27½,,
1928,MLB,AL,,6th,68,86,.442,33,,
1929,MLB,AL,,6th,70,84,.455,36,,
1930,MLB,AL,,5th,75,79,.487,27,,
1931,MLB,AL,,7th,61,93,.396,47,,
1932,MLB,AL,,5th,76,75,.503,29½,,
1933,MLB,AL,,5th,75,79,.487,25,,
1934,MLB,AL *,,1st,101,53,.656,—,Lost World Series (Cardinals) 4–3 *,Mickey Cochrane (MVP)
1935,MLB †,AL *,,1st,93,58,.616,—,Won World Series (Cubs) 4–2 †,Hank Greenberg (MVP)
1936,MLB,AL,,2nd,83,71,.539,19½,,
1937,MLB,AL,,2nd,89,65,.578,13,,Charlie Gehringer (MVP)
1938,MLB,AL,,4th,84,70,.545,16,,
1939,MLB,AL,,5th,81,73,.526,26½,,
1940,MLB,AL *,,1st,90,64,.584,—,Lost World Series (Reds) 4–3 *,Hank Greenberg (MVP)
1941,MLB,AL,,4th,75,79,.487,26,,
1942,MLB,AL,,5th,73,81,.474,30,,
1943,MLB,AL,,5th,78,76,.506,20,,
1944,MLB,AL,,2nd,88,66,.571,1,,Hal Newhouser (MVP)
1945,MLB †,AL *,,1st,88,65,.575,—,Won World Series (Cubs) 4–3 †,"Hal Newhouser (MVP, TC)"
