NBA Season,Team Season,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards
Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons,Fort Wayne Pistons
1948–49,1948–49,,,Western,5th,22,38,.367,23,,
1949–50,1949–50,,,Central,4th,40,28,.588,11,Won Division Semifinals (Royals) 2–0 Lost Division Finals (Lakers) 2–0,
1950–51,1950–51,,,Western,3rd,32,36,.471,12,Lost Division Semifinals (Royals) 2–1,
1951–52,1951–52,,,Western,4th,29,37,.439,12,Lost Division Semifinals (Royals) 2–0,
1952–53,1952–53,,,Western,3rd,36,33,.522,11.5,Won Division Semifinals (Royals) 2–1 Lost Division Finals (Lakers) 3–2,Don Meineke (ROY)
1953–54,1953–54,,,Western,3rd,40,32,.556,6,Lost Round-Robin (Royals) 2–0 Lost Round-Robin (Lakers) 2–0,
1954–55,1954–55,,,Western,1st,43,29,.597,—,Won Division Finals (Lakers) 3–1 Lost NBA Finals (Nationals) 4–3,
1955–56,1955–56,,,Western,1st,37,35,.514,—,Won Division Finals (Hawks) 3–2 Lost NBA Finals (Warriors) 4–1,
1956–57,1956–57,,,Western,2nd,34,38,.472,—,Lost Division Semifinals (Lakers) 2–0,
Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons
1957–58,1957–58,,,Western,3rd,33,39,.458,8,Won Division Semifinals (Royals) 2–0 Lost Division Finals (Hawks) 4–1,
1958–59,1958–59,,,Western,3rd,28,44,.389,21,Lost Division Semifinals (Lakers) 2–1,
1959–60,1959–60,,,Western,2nd,30,45,.400,16,Lost Division Semifinals (Lakers) 2–0,
1960–61,1960–61,,,Western,3rd,34,45,.430,17,Lost Division Semifinals (Lakers) 3–2,
1961–62,1961–62,,,Western,3rd,37,43,.463,17,Won Division Semifinals (Royals) 3–1 Lost Division Finals (Lakers) 4–2,
1962–63,1962–63,,,Western,3rd,34,46,.425,19,Lost Division Semifinals (Hawks) 3–1,
1963–64,1963–64,,,Western,5th,23,57,.288,25,,
1964–65,1964–65,,,Western,4th,31,49,.388,18,,
1965–66,1965–66,,,Western,5th,22,58,.275,23,,
1966–67,1966–67,,,Western,5th,30,51,.370,14,,Dave Bing (ROY)
1967–68,1967–68,,,Eastern,4th,40,42,.488,22,Lost Division Semifinals (Celtics) 4–2,
1968–69,1968–69,,,Eastern,6th,32,50,.390,25,,
1969–70,1969–70,,,Eastern,7th,31,51,.378,29,,
1970–71,1970–71,Western,6th,Midwest,4th,45,37,.549,21,,
1971–72,1971–72,Western,8th,Midwest,4th,26,56,.317,37,,
